Projects,Director,Writers,Cover,Genre,Related,Year,Description,Date,Status
我們與惡的距離 II The World Between Us : After the Flames,導演 林君陽,編劇 呂蒔媛,465770448_999329548898087_4926480661735176701_n.jpg,劇集 Series,"▶️ https://www.facebook.com/theworldbetweenus2019
▶️https://www.youtube.com/watch?v=eMIlVu0ho2I
▶️https://www.youtube.com/watch?v=eMIlVu0ho2Ihttps://www.youtube.com/watch?v=mpXdQwrz1uo
▶️ https://youtu.be/V6aWZC6dT94?si=YFx-TtOEiO9PzJH0
▶️ https://youtu.be/Z1HTxQ2WjPs?si=JMmVIN1a7BZ3xkz3",2025,"故事從一場超市縱火案展開，24歲的嫌犯造成五死十二傷的慘劇，這案件成為施⾏國民法官制度後，首個可能判處死刑的案例。
大火也燒出了六個家庭交織的命運，時有錯過又彼此牽扯，他們背負著各自生命故事跨越了20年，復仇、背叛、傷害、墜落，並相互救贖，在隨機殺人事故之後，命運會將這六個家庭帶往何處？",,Done
夏日最後的祕密 Summer Blue Hour,導演 邱晧洲,,473096089_122107576496711309_452250625718281418_n.jpg,預告片花 Trailer,"▶️ https://www.facebook.com/VVPfans/videos/1164626838355262
▶️ https://www.youtube.com/watch?v=Ee0bpCHmbww",2025,前導預告、正式預告剪輯,2025年4月30日,Done
百年原殤：混濁 Mangotaay,導演 勒嘎・舒米 Lekal Sumi,,hq720.jpg,短片 Short Film,▶️  https://www.youtube.com/watch?v=gqbf06rGtm4,2025,西元 1877 年，清軍入侵 Cepo’地區的阿美族部落。戰火中，Kacaw 目睹 Sawmah 和 Nakaw 兩兄妹痛失至親，族人們被迫離開家園，頭目 Mayaw 帶領大家翻山越嶺地逃往北方的奇拉雅山。在飢寒交迫的困境中，Kacaw 對著成為孤兒的兄妹心懷愧疚，同時憂心 Usay 和未出世的孩子，他試圖說服 Mayaw 接受清兵的承諾。內心掙扎的 Mayaw，在失去家園和糧食殆盡的絕望下，只能選擇相信清兵，下山搬運米糧。清兵會信守承諾地讓族人們重返故土，還是另有所圖呢？這一趟，Cepo’的族人們真的能得償所願地回家嗎？,2025年4月5日,Done
百年原殤：抉擇 Dngusun,導演 蘇弘恩 Ungen Mehan,,hq720-1.jpg,短片 Short Film,▶️ https://www.youtube.com/watch?v=OFho4Wjl4vE,2025,"1896 年，太魯閣族少年 Umin（烏敏）在新城目擊日軍侵犯婦女，揭開族人抗日的序幕。昔日的噤聲埋下負疚，兄長被日軍射殺的魘影更日日闖入夢中。
1913 年，已有妻孩的 Umin 在山中偶遇一支由日本警視率領的探險隊，這回他決定不再坐以待斃。然而面對頭目的考量、兄長的叮囑、探險隊裡的各有所圖、族人們的命運未卜，Umin 陷入了殺與不殺的抉擇風暴。
以戰爭為錨，青年心緒為引，透見太魯閣族抗擊日軍的浩瀚 18 載，這是 20 世紀發生在臺灣本島最大的一場戰爭。",2025年4月6日,Done
拜六禮拜 Holiday,導演 杜政哲,編劇 杜政哲、林晏如、洪偉城、許瑋哲、劉思慧,497730336_122164419620551632_57758611503755856_n.jpg,劇集 Series,"▶️  https://www.facebook.com/share/v/1BpuCTH5Qe/
▶️  https://www.youtube.com/watch?v=bLGZhj5XbZs
▶️  https://www.youtube.com/watch?v=Q4lSvwemH9w",2025,「放下的那一天，就是假期」你會怎麼過你的拜六禮拜？有的人會一直加班，因為回家也沒有人在等他，人生過得很孤單有的人把所有的時間都拿去愛別人，卻過得比平常更累還更辛苦其實這些都不要緊，不過大家好像都忘了拜六禮拜真正的用意是「好好休息」有的時候人過得隨便一點，你的人生會更chill～,2025年6月8日,Done
百年原殤：虹霧 hongu’utux,導演 簡學彬,,hq720-2.jpg,短片 Short Film,▶️  https://www.youtube.com/watch?v=K3g82I1zO0s,2025,"1907 年，在經歷了與日軍長達八年的戰役後，泰雅族大豹社領導人 Watan Syat（瓦旦．燮促） 決定將兒子送去給日本人擔任質子，希望能換取和平與族人重回故土。
領導人的養女 Loba Watan（蘿芭・瓦旦）不忍手足被作為人質，於是挺身而出，自願前往日軍作為和解的籌碼。",2025年4月12日,Done
那張照片裡的我們 The Photo from 1977,導演 湯昇榮、鄭乃方,編劇 Juliana,"584751292_122148352160890285_694512182602938456_n.jpg, 559520975_122143351910890285_7151524221430916854_n.jpg",電影 Feature Film,"▶️ https://www.youtube.com/watch?v=fdpKlA-yNXU
▶️ https://youtu.be/44o57cHB-NQ?si=tMmiGcUy0aYcac3C
▶️ https://www.youtube.com/watch?v=xwk7rSZhFzw
▶️ https://www.facebook.com/share/r/1EFPXQ8S8W/
▶️ https://www.facebook.com/profile.php?id=61576708558191",2025,"The daughter of a photography studio owner who longs to see the world. A taekwondo coach forced to retire after a failed mission. In a colorful and chaotic era, the photo brings them together…",2025年12月24日,In progress
夏日最後的祕密 Summer Blue Hour,導演 邱晧洲,,"473096089_122107576496711309_452250625718281418_n.jpg, 473096089_122107576496711309_452250625718281418_n%201.jpg",電影 Feature Film,"▶️ https://www.facebook.com/VVPfans/videos/1164626838355262
▶️ https://www.youtube.com/watch?v=Ee0bpCHmbww",2025,『十七歲的祕密，是關於你的每一幀回憶。』那一年，他們約定相愛到畢業就分手，沒有原因，只留下遺憾十年過去，蘇明儀依然放不下，回憶裡的每個片段，依舊清晰如昨日。而一直默默守護的程硯，也藏著無法說出口的心意…,2025年4月30日,Done
人浮於愛 Adrift in Love,導演 徐輔軍,編劇 侯文詠 楊碧鳳,539417428_1230130105795651_4238821339961914992_n.jpg,劇集 Series,"▶️  https://www.youtube.com/watch?v=m1qyXg4vwpY
▶️  https://www.youtube.com/watch?v=2RbsvpUeiZs
▶️  https://www.facebook.com/Adriefinlove",2025,"改編自侯文詠長篇小說 《人浮於愛》
⊹⋆⫸ 如果「愛情=浪漫+性愛+婚姻+孩子+家庭」的套餐太沈重，   單點隨選，會更幸福嗎？",2025年10月25日,Done
死了一個娛樂女記者之後 Tabloid,導演 梁秀紅、吳旻炫,編劇 柯映安,tabloid.png,預告片花 Trailer,,2024,片花剪輯,,Done
