Projects,Cover,Date,Description,Director,Genre,Related,Status,Writers,Year
黃立行 - 要 (I Wanna),%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/h.png,,,導演 比爾賈,音樂錄影帶 Music Video,▶️ https://www.youtube.com/watch?v=EFsYiU6i7ZQ,Done,,2007
回首留蘭香,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/hui.png,2011年5月23日,,導演 許肇任,劇集 Series,▶️ https://youtu.be/3n62i3ZXr9w?si=B7S8pUS1YeTPXHSN,Done,編劇 吳洛纓,2011
做工的人 電影版 Workers The Movie,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/dadfa.jpg,2023年3月31日,,導演 鄭芬芬,電影 Feature Film,"▶️https://www.youtube.com/watch?v=zvKg-UlLSvohttps://www.disneyplus.com/zh-tw/movies/workers-the-movie/70UFKUpi7xQf 
▶️https://www.catchplay.com/tw/video/3736cd7f-93ab-4cb9-bdf3-f1c42fbb5757https://video.friday.tw/movie/detail/96217/%E5%81%9A%E5%B7%A5%E7%9A%84%E4%BA%BA-%E9%9B%BB%E5%BD%B1%E7%89%88",Done,編劇 鄭芬芬,2023
人浮於愛 Adrift in Love,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/539417428_1230130105795651_4238821339961914992_n.jpg,2025年10月25日,"改編自侯文詠長篇小說 《人浮於愛》
⊹⋆⫸ 如果「愛情=浪漫+性愛+婚姻+孩子+家庭」的套餐太沈重，   單點隨選，會更幸福嗎？",導演 徐輔軍,劇集 Series,"▶️  https://www.youtube.com/watch?v=m1qyXg4vwpY
▶️  https://www.youtube.com/watch?v=2RbsvpUeiZs
▶️  https://www.facebook.com/Adriefinlove",Done,編劇 侯文詠 楊碧鳳,2025
S.H.E. - 神槍手,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/sssssss.png,,,導演 賴偉康 比爾賈,音樂錄影帶 Music Video,▶️ https://youtu.be/cqYqhB1YTnA?si=vdORim0yRM6kRBm9,Done,,2005
夏日最後的祕密 Summer Blue Hour,"%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/473096089_122107576496711309_452250625718281418_n.jpg, %E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/473096089_122107576496711309_452250625718281418_n%201.jpg",2025年4月30日,『十七歲的祕密，是關於你的每一幀回憶。』那一年，他們約定相愛到畢業就分手，沒有原因，只留下遺憾十年過去，蘇明儀依然放不下，回憶裡的每個片段，依舊清晰如昨日。而一直默默守護的程硯，也藏著無法說出口的心意…,導演 邱晧洲,電影 Feature Film,"▶️ https://www.facebook.com/VVPfans/videos/1164626838355262
▶️ https://www.youtube.com/watch?v=Ee0bpCHmbww",Done,,2025
不死搖滾夢,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/rock.png,2009年1月18日,,導演 邱晧洲,電視電影 TV Movie,▶️ https://youtu.be/3m7lRineq4U?si=QZ3LoscuSzSOm7Pz,Done,編劇 陳依孝,2009
JJ林俊傑 - 殺手 電影版,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/k.png,,,導演 比爾賈,"短片 Short Film, 音樂錄影帶 Music Video",▶️ https://www.youtube.com/watch?v=sYI1vpZ_PwM,Done,,2007
百年原殤：虹霧 hongu’utux,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/hq720-2.jpg,2025年4月12日,"1907 年，在經歷了與日軍長達八年的戰役後，泰雅族大豹社領導人 Watan Syat（瓦旦．燮促） 決定將兒子送去給日本人擔任質子，希望能換取和平與族人重回故土。
領導人的養女 Loba Watan（蘿芭・瓦旦）不忍手足被作為人質，於是挺身而出，自願前往日軍作為和解的籌碼。",導演 簡學彬,短片 Short Film,▶️  https://www.youtube.com/watch?v=K3g82I1zO0s,Done,,2025
那張照片裡的我們 The Photo from 1977,"%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/584751292_122148352160890285_694512182602938456_n.jpg, %E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/559520975_122143351910890285_7151524221430916854_n.jpg",2025年12月24日,"The daughter of a photography studio owner who longs to see the world. A taekwondo coach forced to retire after a failed mission. In a colorful and chaotic era, the photo brings them together…",導演 湯昇榮、鄭乃方,電影 Feature Film,"▶️ https://www.youtube.com/watch?v=fdpKlA-yNXU
▶️ https://youtu.be/44o57cHB-NQ?si=tMmiGcUy0aYcac3C
▶️ https://www.youtube.com/watch?v=xwk7rSZhFzw
▶️ https://www.facebook.com/share/r/1EFPXQ8S8W/
▶️ https://www.facebook.com/profile.php?id=61576708558191",In progress,編劇 Juliana,2025
